R. Prof. Freitas e Castro, 860,-30.04667581,-51.20910448
Av. Prof. Oscar Pereira, 715,-30.05808589,-51.20908521
Av. Prof. Oscar Pereira, 715,-30.05808589,-51.20908521
Av. Joao Pessoa, 2452,-30.05060781,-51.20905295
Av. Prof. Oscar Pereira, 716,-30.05803964,-51.20902153
Av. Bento Goncalves, 415,-30.05135944,-51.20878244
Av. Bento Goncalves, 394,-30.05131153,-51.20869843
R. Leopoldo Bier, 375,-30.04744244,-51.20867461
Av. Joao Pessoa, 2510,-30.05121514,-51.20859553
R. Domingos Crescencio, 156,-30.05026476,-51.20859115
Av. Ipiranga, 1885,-30.04530218,-51.20856535
R. Voluntarios da Patria, 3223,-30.00620373,-51.20852478
R. Voluntarios da Patria, 3225,-30.00617856,-51.2085152
R. Santana, 1044,-30.04717814,-51.20850887
Av. Bento Goncalves, 455,-30.05147677,-51.20849067
Av. Princesa Isabel, 500,-30.04844522,-51.20846195
R. Guilherme Schell, 640,-30.05822558,-51.20845983
R. Santana, 1080,-30.04730973,-51.20841597
Av. Prof. Oscar Pereira, 977,-30.05892113,-51.2083834
R. Cabral, 10,-30.03299534,-51.20833696
Av. Protasio Alves, 6,-30.03695603,-51.20826575
Av. Polonia, 51,-30.00717195,-51.20824927
Av. Polonia, 53,-30.00717957,-51.20822464
R. Vasco da Gama, 414,-30.03190215,-51.20819127
Av. Bento Goncalves, 502,-30.05150678,-51.20817031
R. Vicente da Fontoura, 518,-30.05288246,-51.2081025
R. Gomes Jardim, 185,-30.04535394,-51.20799709
Av. Protasio Alves, 47,-30.03707755,-51.20796336
R. Vasco da Gama, 433,-30.03202707,-51.20793701
R. Santana, 1225,-30.04816371,-51.20790964
R. Guilherme Schell, 467,-30.0561499,-51.20787552
R. Voluntarios da Patria, 3370,-30.00413585,-51.20781653
R. Vicente da Fontoura, 616,-30.05180352,-51.20777398
R. Vicente da Fontoura, 595,-30.05197883,-51.20774155
Av. Protasio Alves, 46,-30.03704014,-51.20773756
Av. Bento Goncalves, 519,-30.05173634,-51.20771525
Av. Ipiranga, 2475,-30.04480156,-51.20771068
R. Casemiro de Abreu, 72,-30.03119795,-51.20769764
R. Voluntarios da Patria, 3501,-30.00390665,-51.20764372
R. Guilherme Schell, 338,-30.05542816,-51.20756628
Av. Princesa Isabel, 623,-30.04797055,-51.20748521
Av. Prof. Oscar Pereira, 1040,-30.06012009,-51.2074687
R. Gomes Jardim, 281,-30.04624222,-51.20736881
R. Francisco Ferrer, 133,-30.03341658,-51.20736592
R. Francisco Ferrer, 441,-30.03622937,-51.20734078
R. Guilherme Schell, 268,-30.05465937,-51.20733929
Av. Protasio Alves, 125,-30.0371775,-51.20733572
R. Vicente da Fontoura, 693,-30.05170983,-51.20732584
Av. Bento Goncalves, 587,-30.05187384,-51.20732231
Av. Protasio Alves, 78,-30.03710743,-51.20731501
R. Domingos Crescencio, 279,-30.04960497,-51.20731318
R. Ernesto Fontoura, 124,-30.00621328,-51.20727884
Av. Princesa Isabel, 639,-30.04785361,-51.20727567
R. Francisco Ferrer, 218,-30.03431895,-51.2072744
Av. Prof. Oscar Pereira, 1189,-30.06058621,-51.20727335
R. Francisco Ferrer, 508,-30.03714702,-51.2072546
R. Guilherme Schell, 238,-30.05431854,-51.20723878
